品规ID,档位,订足面,订足率,订单满足率,订购率,上期策略,总户数,订购量,需求量,投放量,品规名
6901028054447,十一档,0.692307692,1,0.764705882,0.008160703,1,1593,13,17,13,玉溪(细支清香世家)
6901028054447,十档,0.857142857,1,0.875,0.008323424,1,841,7,8,7,玉溪(细支清香世家)
6901028054447,二十三档,0.970149254,0.798507463,0.963963964,0.100600601,2,666,107,111,134,玉溪(细支清香世家)
6901028054447,二十二档,0.971830986,0.76056338,0.981818182,0.093667546,2,758,108,110,142,玉溪(细支清香世家)
6901028054447,二十一档,0.951612903,0.766129032,0.931372549,0.080415045,2,771,95,102,124,玉溪(细支清香世家)
6901028054447,二十档,0.951807229,0.722891566,0.909090909,0.07325684,2,1133,120,132,166,玉溪(细支清香世家)
6901028054447,十九档,0.964285714,0.723214286,0.786407767,0.051756007,2,1082,81,103,112,玉溪(细支清香世家)
6901028054447,七档,0.8,1,0.833333333,0.004930966,1,1014,5,6,5,玉溪(细支清香世家)
6901028054447,六档,0.5,1,0.444444444,0.004329004,1,924,4,9,4,玉溪(细支清香世家)
6901028054447,五档,1,1,1,0.005580357,1,896,5,5,5,玉溪(细支清香世家)
6901028054447,四档,0.75,1,0.8,0.004807692,1,832,4,5,4,玉溪(细支清香世家)
6901028054447,三档,1,1,1,0.002670227,1,749,2,2,2,玉溪(细支清香世家)
6901028054447,二十六档,0.888888889,0.833333333,0.898203593,0.134328358,2,670,150,167,180,玉溪(细支清香世家)
6901028054447,二十五档,0.888888889,0.722222222,0.8125,0.115384615,2,78,13,16,18,玉溪(细支清香世家)
6901028054447,二十四档,0.933333333,0.783333333,0.949494949,0.099337748,2,604,94,99,120,玉溪(细支清香世家)
6901028054447,八档,1,1.2,1,0.005235602,1,955,6,6,5,玉溪(细支清香世家)
6901028054447,二档,1,1,1,0.001597444,1,626,1,1,1,玉溪(细支清香世家)
6901028054447,一档,1,1,1,0.001178319,1,2546,3,3,3,玉溪(细支清香世家)
6901028054898,三十档,0.887755102,0.645408163,0.930147059,0.198782961,4,493,253,272,392,玉溪(创客)
6901028054898,九档,0,1,0.5,0.001149425,1,870,1,2,1,玉溪(创客)
6901028054898,二十九档,0.896907216,0.538659794,0.88559322,0.146969697,4,660,209,236,388,玉溪(创客)
6901028054898,十一档,0.9,0.45,0.9,0.006277464,2,1593,9,10,20,玉溪(创客)
6901028054898,十档,1,1,1,0.005945303,1,841,5,5,5,玉溪(创客)
6901028054898,十八档,0.962962963,0.712962963,0.785714286,0.040723982,2,1326,77,98,108,玉溪(创客)
6901028054898,十七档,0.943396226,0.660377358,0.933333333,0.032575292,2,1627,70,75,106,玉溪(创客)
6901028054898,十六档,0.98,0.7,0.985915493,0.025627883,2,1951,70,71,100,玉溪(创客)
6901028054898,十五档,0.972222222,0.625,0.833333333,0.018720749,2,1923,45,54,72,玉溪(创客)
6901028054898,十四档,0.714285714,0.571428571,0.727272727,0.006535948,2,1071,8,11,14,玉溪(创客)
