,品规ID,品规名,三十档,二十九档,二十八档,二十七档,二十六档,二十五档,二十四档,二十三档,二十二档,二十一档,二十档,十九档,十八档,十七档,十六档,十五档,十四档,十三档,十二档,十一档,十档,九档,八档,七档,六档,五档,四档,三档,二档,一档
54,6901028221603,贵烟(魔力),4.0,2.0,2.0,2.0,2.0,2.474731182795699,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.4747311827956988,1.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
55,6901028136358,金圣(智圣出山),2.0,2.0,2.0,1.0,1.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,0.0,0.0,0.4747311827956988,0.0,-0.5252688172043012,0.4747311827956988,0.4747311827956988,0.4747311827956988
56,6901028125970,黄山(徽商新概念细支),1.0,8.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,0.0,-0.5252688172043012
57,6901028123983,黄山(红方印前店后坊中支),2.0,2.0,2.0,6.0,5.0,2.474731182795699,4.0,2.474731182795699,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.4747311827956988,0.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.0,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
58,6901028160285,黄金叶(乐途),9.0,6.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.474731182795699
59,6901028165921,黄金叶(小目标),8.0,7.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.474731182795699,1.0,2.474731182795699,2.474731182795699
60,6901028165242,黄金叶(爱尚),9.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.4747311827956988
61,6901028184250,黄鹤楼(硬1916),3.0,3.0,2.0,2.0,1.0,4.0,3.0,6.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.0,0.4747311827956988,0.0,0.4747311827956988,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,0.0,0.4747311827956988
62,6901028190404,黄鹤楼(硬圣火),2.0,2.0,2.0,3.0,3.0,2.474731182795699,7.0,5.0,5.0,4.0,2.474731182795699,3.0,3.0,2.0,2.0,2.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
63,6901028178105,黄鹤楼(硬天下胜景),3.0,2.0,2.0,6.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,-0.5252688172043012
64,6901028219174,黄鹤楼(硬奇景),8.0,4.0,3.0,3.0,3.0,3.474731182795699,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.4747311827956988,1.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,-0.5252688172043012
65,6901028188029,黄鹤楼(硬峡谷情细支),4.0,4.0,4.0,2.0,2.0,2.474731182795699,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
66,6901028181457,黄鹤楼(硬峡谷柔情),2.0,2.0,1.0,7.0,6.0,3.0,2.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5252688172043012,0.0,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
67,6901028184304,黄鹤楼(硬平安),3.0,3.0,2.0,8.0,5.0,2.474731182795699,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.0,0.0,0.4747311827956988,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,0.4747311827956988
68,6901028183239,黄鹤楼(硬金砂龙烟),22.0,21.0,19.0,18.0,17.0,17.0,17.0,16.0,16.0,15.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,13.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0
69,6901028180580,黄鹤楼(软蓝),17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,10.0,9.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
70,6901028190602,黄鹤楼(软雪之景),20.0,20.0,18.0,18.0,16.0,16.0,14.0,14.0,13.0,13.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0
