,品规ID,品规名,三十档,二十九档,二十八档,二十七档,二十六档,二十五档,二十四档,二十三档,二十二档,二十一档,二十档,十九档,十八档,十七档,十六档,十五档,十四档,十三档,十二档,十一档,十档,九档,八档,七档,六档,五档,四档,三档,二档,一档
55,6901028136358,金圣(智圣出山),1,0,0,0,0,4,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,6901028125970,黄山(徽商新概念细支),0,7,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,6901028123983,黄山(红方印前店后坊中支),0,0,1,5,4,0,3,0,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6901028160285,黄金叶(乐途),9,6,6,4,4,3,3,3,3,3,2,2,2,2,2,2,2,1,2,0,2,2,1,0,2,2,0,1,0,0
59,6901028165921,黄金叶(小目标),8,7,6,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,1,0,1,0,0,2,0,0,1,0,0
60,6901028165242,黄金叶(爱尚),9,6,6,5,4,4,4,3,3,3,2,2,2,2,2,2,1,2,2,1,1,0,2,2,0,2,1,0,0,0
61,6901028184250,黄鹤楼(硬1916),1,0,0,0,0,4,3,5,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,6901028190404,黄鹤楼(硬圣火),0,0,0,2,2,0,6,5,4,4,0,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,6901028178105,黄鹤楼(硬天下胜景),2,1,0,6,3,1,2,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,6901028219174,黄鹤楼(硬奇景),8,4,1,3,1,1,0,0,0,0,0,0,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
65,6901028188029,黄鹤楼(硬峡谷情细支),2,0,0,2,1,0,0,0,1,0,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,6901028181457,黄鹤楼(硬峡谷柔情),0,1,0,6,6,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6901028184304,黄鹤楼(硬平安),1,0,1,7,4,0,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6901028183239,黄鹤楼(硬金砂龙烟),11,11,9,7,7,7,7,6,6,5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0
69,6901028180580,黄鹤楼(软蓝),11,10,8,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2
70,6901028190602,黄鹤楼(软雪之景),11,11,9,9,7,7,5,5,4,4,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1
