item_id,level,date,dzm,dzl,ddmz,dgl,stragety,group_num,dg_qty,xq_qty
6901028114455 ,十二档,20170817 - 20170821,0.823529412,1,0.395348837,0.028029678,1,1213,34,86
6901028114455 ,十一档,20170817 - 20170821,0.814814815,1,0.658536585,0.022277228,1,1212,27,41
6901028114455 ,十档,20170817 - 20170821,0.633333333,1,0.714285714,0.024752475,1,1212,30,42
6901028114455 ,九档,20170817 - 20170821,0.757575758,1,0.292035398,0.027205276,1,1213,33,113
6901028114455 ,八档,20170817 - 20170821,0.791666667,1,0.324324324,0.01980198,1,1212,24,74
6901028114455 ,七档,20170817 - 20170821,0.769230769,1,0.25,0.02143446,1,1213,26,104
6901028114455 ,六档,20170817 - 20170821,0.619047619,1,0.4375,0.017326733,1,1212,21,48
6901028114455 ,五档,20170817 - 20170821,0.541666667,1,0.19047619,0.01980198,1,1212,24,126
6901028114455 ,四档,20170817 - 20170821,0.642857143,1,0.651162791,0.023083265,1,1213,28,43
6901028114455 ,三档,20170817 - 20170821,0.913043478,1,0.696969697,0.018976898,1,1212,23,33
6901028114455 ,二档,20170817 - 20170821,0.681818182,1,0.5,0.018136851,1,1213,22,44
6901028114455 ,一档,20170817 - 20170821,0.666666667,1,0.75,0.007425743,1,1212,9,12
6901028114455 ,三十档,20170822 - 20170825,0.895348837,0.6,0.945054945,0.283828383,15,303,774,819
6901028114455 ,二十九档,20170822 - 20170825,0.813559322,0.658898305,0.831550802,0.194719472,8,303,311,374
6901028114455 ,二十八档,20170822 - 20170825,0.916666667,0.795833333,0.90521327,0.158415842,5,303,191,211
6901028114455 ,二十七档,20170822 - 20170825,0.907142857,0.622857143,0.886178862,0.189959294,5,737,436,492
6901028114455 ,二十六档,20170822 - 20170825,0.943548387,0.548387097,0.947075209,0.168478261,5,736,340,359
6901028114455 ,二十五档,20170822 - 20170825,0.826530612,0.630102041,0.791666667,0.132971506,4,737,247,312
6901028114455 ,二十四档,20170822 - 20170825,0.924731183,0.588709677,0.904958678,0.126358696,4,736,219,242
6901028114455 ,二十三档,20170822 - 20170825,0.943925234,0.511682243,0.858823529,0.145183175,4,737,219,255
6901028114455 ,二十二档,20170822 - 20170825,0.906976744,0.662790698,0.9,0.116847826,3,736,171,190
6901028114455 ,二十一档,20170822 - 20170825,0.978021978,0.615384615,0.949152542,0.123978202,3,734,168,177
6901028114455 ,二十档,20170822 - 20170825,0.92920354,0.619469027,0.941704036,0.093234323,3,1212,210,223
6901028114455 ,十九档,20170822 - 20170825,0.941176471,0.568627451,0.914414414,0.098103875,3,1213,203,222
6901028114455 ,十八档,20170822 - 20170825,0.923076923,0.820512821,0.870748299,0.064356436,2,1212,128,147
6901028114455 ,十七档,20170822 - 20170825,0.87804878,0.823170732,0.912162162,0.067600989,2,1213,135,148
6901028114455 ,十六档,20170822 - 20170825,0.903225806,0.774193548,0.897196262,0.051155116,2,1212,96,107
6901028114455 ,十五档,20170822 - 20170825,0.888888889,0.759259259,0.796116505,0.044554455,2,1212,82,103
